city,cms_visits_per_year,smile_visits
Chattanooga,98.5,7.0
Hixson,75.5,0.0
Knoxville,390.5,394.0
Memphis,17.0,1737.5
Nashville,453.0,2114.0
Murfreesboro,0.0,766.5
Cleveland,0.0,577.0
Kingsport,0.0,409.5
Smyrna,0.0,217.5
Johnson City,0.0,227.0
Antioch,0.0,302.5
Madison,0.0,214.5
La Vergne,0.0,130.0
Lebanon,0.0,153.5
Franklin,0.0,109.0
Bristol,0.0,215.5
Mount Juliet,0.0,80.0
Ashland City,0.0,64.5
Hermitage,0.0,85.5
Springfield,0.0,54.5
Hendersonville,0.0,88.0
Greeneville,0.0,77.5
Portland,0.0,58.5
Jonesborough,0.0,82.5
Elizabethton,0.0,87.0
Church Hill,0.0,71.0
Shelbyville,0.0,140.5
Bluff City,0.0,83.5
Sevierville,0.0,119.5
Rogersville,0.0,77.0
Hartsville,0.0,28.0
Gallatin,0.0,98.0
Woodbury,0.0,52.5
Tullahoma,0.0,40.0
South Pittsburg,0.0,34.0
Goodlettsville,0.0,81.5
Clarksville,0.0,162.0
Blountville,0.0,59.0
Old Hickory,0.0,72.0
Lascassas,0.0,27.0
Brentwood,0.0,30.5
Watertown,0.0,17.5
Manchester,0.0,42.0
Lewisburg,0.0,30.0
Gray,0.0,37.0
Joelton,0.0,19.0
Dickson,0.0,37.0
Kingston Springs,0.0,18.0
Castalian Springs,0.0,14.5
Spring Hill,0.0,26.0
Greenbrier,0.0,23.0
Harrogate,0.0,6.5
Whites Creek,0.0,19.5
Mountain City,0.0,59.5
College Grove,0.0,18.5
Unicoi,0.0,18.0
New Tazewell,0.0,0.0
Limestone,0.0,10.5
Whitwell,0.0,19.5
Madisonville,0.0,10.5
Cedar Hill,0.0,6.5
Roan Mountain,0.0,19.0
Erwin,0.0,21.5
Donelson,0.0,10.5
Rockvale,0.0,10.0
New Johnsonville,0.0,6.0
Charleston,0.0,12.0
White House,0.0,16.0
Centerville,0.0,4.0
Bellevue,0.0,3.5
Eagleville,0.0,14.0
Chapel Hill,0.0,6.0
Erin,0.0,19.5
Chuckey,0.0,10.5
Bethpage,0.0,6.5
Tazewell,0.0,0.0
Jamestown,0.0,26.0
Morristown,0.0,9.5
Doyle,0.0,3.5
Afton,0.0,7.0
Colonial Heights,0.0,5.5
Butler,0.0,8.0
Morrison,0.0,7.0
Arlington,0.0,27.5
Hollow Rock,0.0,5.5
Lafayette,0.0,16.0
Covington,0.0,25.0
Tracy City,0.0,9.5
Hornbeak,0.0,7.5
Shady Valley,0.0,6.5
Henderson,0.0,3.0
Fairview,0.0,14.5
Spring City,0.0,12.5
Kingston,0.0,0.0
Cottontown,0.0,3.0
Cordova,0.0,96.5
Mc Minnville,0.0,22.5
Thompsons Station,0.0,5.5
Alpine,0.0,0.0
Seymour,0.0,20.0
Corryton,0.0,9.0
Red Boiling Springs,0.0,5.0
Powell,0.0,22.5
Christiana,0.0,8.5
Piney Flats,0.0,10.0
Kodak,0.0,14.5
Nolensville,0.0,10.0
Newbern,0.0,8.0
Lynnville,0.0,7.0
Bon Aqua,0.0,4.0
Pulaski,0.0,10.0
Germantown,0.0,19.5
Decherd,0.0,8.5
Westmoreland,0.0,9.5
Elora,0.0,1.5
Laurel Bloomery,0.0,3.5
Melrose,0.0,0.0
Arthur,0.0,0.0
Mount Carmel,0.0,12.5
Mcminnville,0.0,12.0
Caryville,0.0,2.0
Orlinda,0.0,3.5
Martin,0.0,3.5
Lakewood,0.0,2.5
Collierville,0.0,39.5
Palmer,0.0,1.5
Mosheim,0.0,7.0
Oak Ridge,0.0,6.5
Clinton,0.0,4.0
Tiptonville,0.0,14.5
Forest Hills,0.0,4.5
Drummonds,0.0,11.5
Midway,0.0,3.5
Smithville,0.0,19.0
Fall Branch,0.0,7.5
Northeast,0.0,36.0
Somerville,0.0,16.0
Columbia,0.0,28.0
Ewing,0.0,0.0
Sequatchie,0.0,11.5
Mountain Home,0.0,2.0
Ridgely,0.0,8.0
Bethel Springs,0.0,0.0
Obion,0.0,2.5
Primm Springs,0.0,0.0
Finger,0.0,0.0
Mascot,0.0,6.0
Parsons,0.0,3.5
Waverly,0.0,8.0
Unionville,0.0,1.5
Clarkrange,0.0,1.0
Sparta,0.0,6.5
Dungannon,0.0,0.0
Munford,0.0,2.0
Chapmansboro,0.0,4.5
Speedwell,0.0,0.0
Pegram,0.0,7.0
Woodbine,0.0,24.0
Maryville,0.0,31.5
Cosby,0.0,4.5
1450830,0.0,0.0
Hampton,0.0,7.0
Monterey,0.0,10.5
Greenfield,0.0,1.0
Rockwood,0.0,18.0
Woodlawn,0.0,9.5
Union City,0.0,4.5
Cane Ridge,0.0,10.5
Bell Buckle,0.0,4.0
Rossville,0.0,4.5
Cross Plains,0.0,2.5
Culleoka,0.0,2.0
Beersheba Springs,0.0,13.5
Estill Springs,0.0,4.0
Pigeon Forge,0.0,2.0
Celina,0.0,6.5
Altamont,0.0,8.0
Baxter,0.0,16.0
Cumberland Gap,0.0,1.5
Flag Pond,0.0,3.5
Tellico Plains,0.0,0.0
Charlotte,0.0,10.5
Gatlinburg,0.0,3.5
Hohenwald,0.0,11.0
Cookeville,0.0,0.0
Bartlett,0.0,0.0
Newport,0.0,0.0
Fayetteville,0.0,0.0
Millington,0.0,0.0
Lawrenceburg,0.0,0.0
Paris,0.0,0.0
Sneedville,0.0,0.0
Dyersburg,0.0,0.0
Spencer,0.0,0.0
Monteagle,0.0,0.0
Crossville,0.0,0.0
Dayton,0.0,0.0
Decatur,0.0,0.0
Hickory Hill,0.0,0.0
Dover,0.0,0.0
Fairfield Glade,0.0,0.0
Mount Pleasant,0.0,0.0
Mason,0.0,0.0
Mc Donald,0.0,0.0
Surgoinsville,0.0,0.0
Soddy Daisy,0.0,0.0
Guild,0.0,0.0
Lexington,0.0,0.0
Maynardville,0.0,0.0
Jackson,0.0,0.0
Livingston,0.0,0.0
Pelham,0.0,0.0
Bradyville,0.0,0.0
Winchester,0.0,0.0
Bradford,0.0,0.0
Springville,0.0,0.0
Alcoa,0.0,0.0
Bulls Gap,0.0,0.0
Camden,0.0,0.0
Jasper,0.0,0.0
New Market,0.0,0.0
Strawberry Plains,0.0,0.0
Alexandria,0.0,0.0
Trade,0.0,0.0
Brighton,0.0,0.0
Lynchburg,0.0,0.0
Big Sandy,0.0,0.0
Pleasant Shade,0.0,0.0
Readyville,0.0,0.0
Loretto,0.0,0.0
Normandy,0.0,0.0
Hickory Valley,0.0,0.0
Loudon,0.0,0.0
Brownsville,0.0,0.0
Quebeck,0.0,0.0
Gainesboro,0.0,0.0
Dandridge,0.0,0.0
Dixon Springs,0.0,0.0
Carthage,0.0,0.0
Collinwood,0.0,0.0
Moscow,0.0,0.0
Dunlap,0.0,0.0
Brush Creek,0.0,0.0
Jefferson City,0.0,0.0
Ripley,0.0,0.0
Burns,0.0,0.0
Orme,0.0,0.0
Lenoir City,0.0,0.0
Byrdstown,0.0,0.0
Burlison,0.0,0.0
Telford,0.0,0.0
Eidson,0.0,0.0
Rutledge,0.0,0.0
Andersonville,0.0,0.0
Sewanee,0.0,0.0
Troy,0.0,0.0
Briceville,0.0,0.0
Deer Lodge,0.0,0.0
Dresden,0.0,0.0
Cowan,0.0,0.0
Eads,0.0,0.0
Halls,0.0,0.0
Pleasant View,0.0,0.0
Friendsville,0.0,0.0
Williston,0.0,0.0
Mohawk,0.0,0.0
Rock Island,0.0,0.0
Gordonsville,0.0,0.0
White Pine,0.0,0.0
Englewood,0.0,0.0
Goodspring,0.0,0.0
Delano,0.0,0.0
Luttrell,0.0,0.0
Indian Mound,0.0,0.0
Flintville,0.0,0.0
Louisville,0.0,0.0
White Bluff,0.0,0.0
Summertown,0.0,0.0
Atoka,0.0,0.0
Heiskell,0.0,0.0
Watauga,0.0,0.0
Big Rock,0.0,0.0
Whiteside,0.0,0.0
Pikeville,0.0,0.0
Blaine,0.0,0.0
Farragut,0.0,0.0
Coalmont,0.0,0.0
Clifton,0.0,0.0
Grand Junction,0.0,0.0
Chucky,0.0,0.0
Waynesboro,0.0,0.0
Whiteville,0.0,0.0
Friendship,0.0,0.0
Iron City,0.0,0.0
Fisherville,0.0,0.0
La Follette,0.0,0.0
Dowelltown,0.0,0.0
Pall Mall,0.0,0.0
Cornersville,0.0,0.0
Mooresburg,0.0,0.0
Gruetli Laager,0.0,0.0
Lyles,0.0,0.0
Five Points,0.0,0.0
Huntingdon,0.0,0.0
Trenton,0.0,0.0
Gleason,0.0,0.0
Jacksboro,0.0,0.0
Karns,0.0,0.0
Holladay,0.0,0.0
Vanleer,0.0,0.0
Middleton,0.0,0.0
Old Fort,0.0,0.0
Leoma,0.0,0.0
Taft,0.0,0.0
Sugar Tree,0.0,0.0
Allons,0.0,0.0
Reagan,0.0,0.0
Harrison,0.0,0.0
Russellville,0.0,0.0
Milan,0.0,0.0
Rickman,0.0,0.0
Prospect,0.0,0.0
Kyles Ford,0.0,0.0
Cadiz,0.0,0.0
Thorn Hill,0.0,0.0
Dellrose,0.0,0.0
Hickman,0.0,0.0
Lakeland,0.0,0.0
Bybee,0.0,0.0
Sale Creek,0.0,0.0
Olive Branch,0.0,0.0
Lutts,0.0,0.0
Buchanan,0.0,0.0
Mc Ewen,0.0,0.0
Pleasant Hill,0.0,0.0
Harriman,0.0,0.0
Pleasantville,0.0,0.0
Buffalo Valley,0.0,0.0
Ten Mile,0.0,0.0
Sharps Chapel,0.0,0.0
Huron,0.0,0.0
Oakland,0.0,0.0
Gruetli,0.0,0.0
Georgetown,0.0,0.0
Westpoint,0.0,0.0
Rutherford,0.0,0.0
Moss,0.0,0.0
Monroe,0.0,0.0
Riceville,0.0,0.0
Alamo,0.0,0.0
Whitesburg,0.0,0.0
Atwood,0.0,0.0
Graysville,0.0,0.0
Saulsbury,0.0,0.0
Snowville,0.0,0.0
Sardis,0.0,0.0
Ethridge,0.0,0.0
Duluth,0.0,0.0
Grandview,0.0,0.0
Bells,0.0,0.0
Mulberry,0.0,0.0
